item_id,variant,subsystem,item_name,specification,source_asset,local_asset_path,base_qty,roller_qty,unit,procurement_class,status,confidence,verification_gate,source_url,notes
M017,both,legs,Lower leg,Simulation-derived rigid print,leg.stl,src/mjlab_microduck/robot/microduck/assets/leg.stl,2,2,piece,print_rigid,confirmed_model,medium,Verify knee and ankle interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Same mesh used on both sides
M019,both,electronics_mounts,M12 lens holder,Simulation-derived rigid print,m12_lens_holder.stl,src/mjlab_microduck/robot/microduck/assets/m12_lens_holder.stl,1,1,piece,print_rigid,confirmed_model,low,Confirm selected camera and focal length,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May need redesign for IMX219 module
M020,both,head,Jaw motor support,Simulation-derived rigid print,motor_support.stl,src/mjlab_microduck/robot/microduck/assets/motor_support.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify ID34 servo and linkage alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M021,both,neck,Neck side structure,Simulation-derived rigid print,neck.stl,src/mjlab_microduck/robot/microduck/assets/neck.stl,2,2,piece,print_rigid,confirmed_model,medium,Verify paired parts and bearing alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Two instances
M022,both,neck,Neck pitch structure,Simulation-derived rigid print,neck_pitch.stl,src/mjlab_microduck/robot/microduck/assets/neck_pitch.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify head-pitch axis,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M023,both,head,Eye-area cosmetic insert,Simulation-derived rigid print,noenoeil.stl,src/mjlab_microduck/robot/microduck/assets/noenoeil.stl,1,1,piece,print_rigid,confirmed_model,low,Confirm cosmetic requirement and sensor clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M026,both,electronics_mounts,Power and battery support,Simulation-derived rigid print,power_support.stl,src/mjlab_microduck/robot/microduck/assets/power_support.stl,1,1,piece,print_rigid,confirmed_model,medium,Fit-check selected battery and safe power board,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,May require redesign
M027,both,body,Right body shell,Simulation-derived rigid print,right_shell.stl,src/mjlab_microduck/robot/microduck/assets/right_shell.stl,1,1,piece,print_rigid,confirmed_model,medium,Check shell closure after harness installation,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M029,roller,roller,Wheel rim,Simulation-derived rigid print,rim.stl,src/mjlab_microduck/robot/microduck/assets/rim.stl,0,4,piece,print_rigid,confirmed_model,medium,Verify axle and tire fit,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels
M030,roller,roller,Roller chassis,Simulation-derived rigid print,roller_blade.stl,src/mjlab_microduck/robot/microduck/assets/roller_blade.stl,0,2,piece,print_rigid,confirmed_model,medium,Verify ankle and wheel clearances,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per foot
M033,both,head,Soft upper mouth,Flexible print candidate,soft_mouth_top.stl,src/mjlab_microduck/robot/microduck/assets/soft_mouth_top.stl,1,1,piece,print_flexible,confirmed_model,low,Print TPU coupon and verify grip and travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Material is inferred
M034,walking,feet,Walking left sole,Flexible print candidate,sole_left.stl,src/mjlab_microduck/robot/microduck/assets/sole_left.stl,1,0,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M035,walking,feet,Walking right sole,Flexible print candidate,sole_right.stl,src/mjlab_microduck/robot/microduck/assets/sole_right.stl,1,0,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only
M037,roller,roller,Roller tire,Flexible print candidate,tire.stl,src/mjlab_microduck/robot/microduck/assets/tire.stl,0,4,piece,print_flexible,confirmed_model,low,Print TPU durometer coupons and rolling test,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels
M038,both,head,Upper head shell,Simulation-derived rigid print,top_head_shell.stl,src/mjlab_microduck/robot/microduck/assets/top_head_shell.stl,1,1,piece,print_rigid,confirmed_model,medium,Check shell closure and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M039,both,body,Trunk base,Simulation-derived rigid print,trunk_base.stl,src/mjlab_microduck/robot/microduck/assets/trunk_base.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify all hip neck and electronics interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M042,both,legs,Left upper leg,Simulation-derived rigid print,upper_leg_left.stl,src/mjlab_microduck/robot/microduck/assets/upper_leg_left.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M043,both,legs,Right upper leg,Simulation-derived rigid print,upper_leg_right.stl,src/mjlab_microduck/robot/microduck/assets/upper_leg_right.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
M044,both,legs,Upper-leg rigidity plate,Simulation-derived rigid print,upper_leg_rigidity_plate.stl,src/mjlab_microduck/robot/microduck/assets/upper_leg_rigidity_plate.stl,2,2,piece,print_rigid,confirmed_model,medium,Verify fastener stack and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side
M046,both,hips,Hip yaw-to-roll bracket,Simulation-derived rigid print,yaw2roll.stl,src/mjlab_microduck/robot/microduck/assets/yaw2roll.stl,2,2,piece,print_rigid,confirmed_model,medium,Verify mirrored assembly and servo horn alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side
M047,both,neck,Head yaw-roll linkage,Simulation-derived rigid print,yaw_roll_motion.stl,src/mjlab_microduck/robot/microduck/assets/yaw_roll_motion.stl,1,1,piece,print_rigid,confirmed_model,medium,Verify both axes and cable twist range,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,
