item_id,variant,subsystem,item_name,specification,base_qty,roller_qty,purchase_qty,unit,procurement_class,status,confidence,buy_status,preferred_url,alternate_url,link_type,link_checked_on,next_action,verification_gate,source_url,purchase_notes,notes
F007,both,fasteners,M2.5 x 6 screws,M2.5 metric,0,0,20,piece,consumable,inferred,low,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2.5x6+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm all 2.7 to 2.8 mm holes before use,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Use only where measured holes confirm M2.5,Stock quantity only
F008,both,fasteners,Servo horn fasteners,XL330-compatible horn and center screw,15,15,18,set,purchase,needs_confirmation,low,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Confirm supplied hardware and spline engagement,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,Confirm horn hardware included with every servo before buying separately,May be included with each servo
F009,roller,roller,Wheel axles,Diameter and retention TBD,0,4,6,piece,fabricate,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Measure roller CAD and conduct pull-out test,https://github.com/fanhao375/microduck-replica,Axle diameter material and retention are not fixed,Not represented as a separate MJCF mesh
F010,roller,roller,Wheel spacers and washers,Dimensions TBD,0,0,,set,fabricate,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Measure assembled wheel side play,https://github.com/fanhao375/microduck-replica,Spacer and washer stack depends on measured wheel side play,Quantity remains open
F011,both,consumables,Low-strength threadlocker,Plastic-safe and removable,0,0,1,bottle,consumable,design_choice,medium,ready_to_buy,https://next.henkel-adhesives.com/us/en/products/industrial-adhesives/central-pdp.html/loctite-222/BP000340.html,,manufacturer_product,2026-08-31,Confirm regional stock and delivery then order the exact item,Compatibility test on printed polymer,,Use only after confirming compatibility with printed polymer and inserts,Do not use on heat-set insert installation
E001,both,compute,Radxa Zero 3W,RK3566 with suitable RAM and storage,1,1,1,piece,purchase,confirmed_runtime,high,ready_to_buy,https://radxa.com/products/zeros/zero3w/,https://docs.radxa.com/en/zero/zero3,manufacturer_buy,2026-08-31,Confirm regional stock and delivery then order the exact item,Boot current supported Armbian and expose ttyS2,https://docs.radxa.com/en/zero/zero3,Choose Wi-Fi 3W not Ethernet-only 3E and confirm RAM storage and header option,Current alpha runtime target
E002,both,compute,System storage,32 GB or larger eMMC or microSD,1,1,2,piece,purchase,needs_confirmation,medium,verify_before_buy,https://www.sandisk.com/products/memory-cards/microsd-cards/sandisk-high-endurance-uhs-i-microsd?capacity=32GB,https://docs.radxa.com/en/zero/zero3/download,manufacturer_product,2026-08-31,Complete the verification gate then order only the matching revision,Complete install update and rollback endurance test,https://docs.radxa.com/en/zero/zero3/download,Use high-endurance storage only if the chosen Radxa SKU has no suitable eMMC,One installed plus one recovery spare
E003,both,control,Replacement imu_to_dxl bench board v0.2,Dynamixel V2 slave ID200 at 1 Mbps; 45 x 25 mm single-connector end node,1,1,5,piece,custom_board,design_choice,medium,ready_to_buy,https://jlc.com/newOrder/#/pcb/pcbPlaceOrder,,manufacturer_service,2026-09-02,Upload the frozen v0.2 Gerber BOM and CPL then review matched parts and production preview before payment,Pass power bring-up register timing freshness and full-bus tests,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,DRC and critical DFM red checks are clear; files and hashes are under docs/hardware/manufacturing,Bench board order package only; final robot fit remains blocked on physical measurements
E004,both,control,LSM6DSV16X IMU,ST 6-axis IMU with SFLP,1,1,5,piece,purchase,confirmed_runtime,high,ready_to_buy,https://www.lcsc.com/product-detail/C5267406.html,https://www.st.com/en/mems-and-sensors/lsm6dsv16x.html,authorized_distributor,2026-09-02,Confirm the exact C5267406 match and stock in the SMT component page,Match gyro scale and quaternion output,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,Exact LSM6DSV16XTR is frozen in the v0.2 BOM,One per assembled v0.2 board
E005,both,control,IMU board MCU,STM32G030C8T6 LQFP48 using HSI16 and USART auto-baud,1,1,5,piece,purchase,design_choice,medium,ready_to_buy,https://www.lcsc.com/product-detail/C529329.html,https://www.st.com/en/microcontrollers-microprocessors/stm32g030c8.html,authorized_distributor,2026-09-02,Confirm the exact C529329 match and stock in the SMT component page,Compile firmware then verify ABRF fail-closed behavior and measure 1 Mbps timing across voltage temperature plus SPI and SWD,https://www.st.com/resource/en/datasheet/stm32g030c6.pdf,Exact STM32G030C8T6 is frozen in the v0.2 BOM,One per assembled v0.2 board; PF0 PF1 are NC
E006,both,control,IMU board half-duplex interface,SN74LVC2G241DCTR complementary-enable TTL buffer,1,1,5,piece,purchase,design_choice,medium,ready_to_buy,https://www.lcsc.com/product-detail/C2676069.html,https://www.ti.com/lit/ds/symlink/sn74lvc2g241.pdf,authorized_distributor,2026-09-02,Confirm the exact C2676069 match and stock in the SMT component page,Scope turnaround at 1 Mbps and validate collisions,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,Exact SN74LVC2G241DCTR is frozen in the v0.2 BOM,One per assembled v0.2 board
E007,both,control,IMU board PCB,Bench v0.2; 45 x 25 mm 2-layer FR-4 1.6 mm 1 oz,1,1,5,piece,fabricate,design_choice,medium,ready_to_buy,https://jlc.com/newOrder/#/pcb/pcbPlaceOrder,,manufacturer_service,2026-09-02,Upload docs/hardware/manufacturing/imu_to_dxl_v0_2_gerber.zip and stop before payment for final shipping review,Verify frozen hashes production preview and bare-board continuity,,Order checker accepted the file; not approved for robot installation and has no mounting holes,Five boards cover bring-up destructive test comparison and two spares
E008,both,electronics,Replacement Robot HAT,65 x 30 mm outline with power bus and peripherals,1,1,3,piece,custom_board,needs_confirmation,low,do_not_buy,,,none,2026-08-31,Do not order; replace with a designed or confirmed alternative,Electrical review and staged bring-up,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,Official HAT is not sold; replacement design is required,Official schematic is not public
E009,both,electronics,40-pin board header,Radxa Zero 3W compatible,1,1,3,piece,purchase,confirmed_runtime,medium,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=2x20+2.54mm+female+header,https://www.digikey.com/en/products/filter/headers-receptacles-female-sockets/315?s=N4IgjCBcoEwAwBYCcVQGMoDMCGAbAzgKYA0IA9lANogDMALAOxgC6xADgC5QgDKrATgJYA7AOYgAvkA,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Mechanical stack-height and continuity test,https://docs.radxa.com/en/zero/zero3,Stack height and through-hole orientation must match the mechanical design,Two spares for board iterations
E010,both,bus,Host half-duplex TTL interface,UART2 to single-wire 3.3 V TTL,1,1,3,piece,purchase,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Scope TX RX turnaround and full 16-device traffic,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,Do not select a host interface until automatic turnaround is proven at 1 Mbps,Must not require an unimplemented direction GPIO
E011,both,power,Logic rail regulator,2S input to regulated 5 V at least 3 A,1,1,2,piece,purchase,design_choice,medium,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Load-step and thermal test with Radxa camera and sensors,https://docs.radxa.com/en/zero/zero3,Logic regulator selection depends on combined Radxa camera and sensor load test,Final rating depends on measured load
E012,both,power,Servo rail regulator,2S input to adjustable output no greater than 6 V,1,1,2,piece,purchase,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Single-servo then five-servo transient and thermal tests,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,Servo regulator current rating is blocked on one-servo and five-servo measurements,Current rating is blocked on measurements
E013,both,power,NP-F battery,NP-F550 or NP-F970 2S pack,1,1,2,piece,purchase,confirmed_runtime,medium,verify_before_buy,https://www.smallrig.com/global/SmallRig-NP-F970-Camera-Battery-4073.html,https://www.smallrig.com/NP-F970-USB-C-Rechargeable-Camera-Battery.html,manufacturer_shop,2026-08-31,Complete the verification gate then order only the matching revision,Mass clearance runtime and discharge test,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/model.rs,Confirm pack mass clearance protection behavior and selected NP-F size,Use protected reputable packs
E014,both,power,NP-F battery plate,Matching pack contacts and mechanical retention,1,1,2,piece,purchase,needs_confirmation,low,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=NP-F970+battery+plate,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Retention polarity and current test,,Confirm contact polarity retention and current rating,Exact official part is unknown
E015,both,power,Main fuse,Replaceable fuse sized after load measurement,1,1,5,piece,purchase,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Fault injection and nuisance-trip test,,Fuse type and rating require measured normal and fault current,Do not choose rating before current measurements
E016,both,power,Master switch or emergency disconnect,DC-rated for measured current,1,1,2,piece,purchase,design_choice,medium,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Interrupt worst-case load repeatedly,,Switch voltage current and breaking rating require measured load,Must be reachable during suspended bring-up
E017,both,power,Reverse-polarity and inrush protection,Low-loss protected input stage,1,1,2,piece,purchase,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Reverse input and hot-plug test with dummy load,,Protection topology must be designed and fault-tested,Circuit remains to be designed
E018,both,power,Bus bulk capacitance,Low-ESR capacitor bank sized from scope captures,1,1,2,set,purchase,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Keep bus within regulator limits during step load,,Capacitance voltage rating and ESR depend on scope captures,Value remains open
E019,both,vision,IMX219 camera module,Radxa-compatible Raspberry Pi Camera v2 class,1,1,2,piece,purchase,confirmed_runtime,medium,verify_before_buy,https://www.raspberrypi.com/products/camera-module-v2/,https://www.seeedstudio.com/Raspberry-Pi-Camera-Module-V2.html,manufacturer_and_reseller,2026-08-31,Complete the verification gate then order only the matching revision,Verify 1080p30 capture orientation and thermal behavior,https://github.com/pollen-robotics/microduck/tree/main/mediad,Confirm Radxa ribbon pinout and current runtime overlay before ordering,One installed plus one spare
E020,both,vision,MIPI CSI ribbon cable,Length and contact orientation TBD,1,1,2,piece,purchase,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Verify routing through head and full motion,,Ribbon contact orientation pitch and routed length are unresolved,Length depends on final mechanical route
E021,both,ranging,VL53L8CX ToF module,8 x 8 ranging module with I2C and Stemma/Qwiic,1,1,2,piece,purchase,confirmed_runtime,medium,verify_before_buy,https://www.st.com/en/evaluation-tools/satel-vl53l8.html,https://estore.st.com/en/products/evaluation-tools-page61.html?marketing-status=Active&p=62,manufacturer_buy,2026-08-31,Complete the verification gate then order only the matching revision,Verify address 0x29 and stable 15 Hz stream,https://github.com/pollen-robotics/microduck/tree/main/tof,SATEL kit is for evaluation and may be too large; verify mechanical integration and driver compatibility,VL53L5CX compatibility requires separate validation
E022,both,ranging,Stemma/Qwiic cable,Four-wire I2C cable length TBD,1,1,2,piece,purchase,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Verify bend radius and head motion,,Cable type and length depend on the selected ToF module,Route before shell closure
E023,both,audio,Audio codec or replacement amplifier,Original TLV320AIC3104 path or simplified I2S output,1,1,2,piece,purchase,needs_confirmation,low,verify_before_buy,https://www.adafruit.com/product/3006,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,manufacturer_shop,2026-08-31,Complete the verification gate then order only the matching revision,Playback capture noise and boot tests,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,MAX98357A is only the output-only safe-replica option and does not provide microphone capture,Choose full codec only if microphone input is required
E024,both,audio,Microphone,Electrical and acoustic specification TBD,1,1,2,piece,purchase,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Record speech and measure self-noise,,Microphone electrical acoustic and connector requirements are unresolved,Not represented by a distinct simulation mesh
E025,both,bus,Dynamixel cable segments,JST EH 3-pin with GND VDD DATA,16,16,21,piece,fabricate,inferred,low,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.digikey.com/en/product-highlight/j/jst/eh-series-connectors,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Continuity polarity resistance and motion test,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Each XL330 package includes one 180 mm X3P cable; measure routing before making custom lengths,Length per segment remains to be measured
E026,both,bus,JST EHR-03 housings,Two per fabricated bus cable,32,32,42,piece,purchase,inferred,medium,verify_before_buy,https://www.digikey.com/en/products/detail/jst-sales-america-inc/EHR-3/527225,,authorized_distributor,2026-08-31,Complete the verification gate then order only the matching revision,Crimp pull test and keyed polarity check,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Buy only for custom cable lengths after the harness drawing is frozen,Purchase quantity covers 21 cables
E027,both,bus,JST SEH-001T-P0.6 terminals,Three per housing,96,96,126,piece,purchase,inferred,medium,verify_before_buy,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SEH-001T-P0-6/26213194,https://www.digikey.com/en/product-highlight/j/jst/eh-series-connectors,authorized_distributor,2026-08-31,Complete the verification gate then order only the matching revision,Crimp cross-section or pull test,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Verify wire gauge and crimp tooling before ordering production quantity,Purchase quantity covers 42 housings
E028,both,bus,Motor-bus wire,Red black and data conductors compatible with JST EH,0,0,,meter,consumable,needs_confirmation,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Measure total routed lengths plus service loops,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Wire gauge insulation flexibility colors and total length remain open,Official manual lists 21 AWG but fit must be verified
E029,both,service,USB-C service cable,Data-capable cable for flashing and recovery,1,1,2,piece,purchase,confirmed_runtime,high,choose_local,,,commodity,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Verify maskrom and normal data operation,https://docs.radxa.com/en/zero/zero3,Choose a known data-capable USB-C cable and verify maskrom flashing,One spare recommended
E030,both,compute,Wi-Fi and Bluetooth antennas,Onboard or external depending Radxa SKU,1,1,1,set,purchase,needs_confirmation,medium,inventory_included_first,https://radxa.com/products/zeros/zero3w/,,manufacturer_product,2026-08-31,Count bundled and owned stock then purchase only the shortage,Range test with shells closed,https://docs.radxa.com/en/zero/zero3,Zero 3W has onboard wireless; confirm selected antenna SKU before buying anything else,Confirm selected board SKU and antenna configuration
E031,both,control,IMU board 3.3 V regulator,LP2985-33DBVR SOT23-5,1,1,5,piece,purchase,design_choice,medium,ready_to_buy,https://www.lcsc.com/product-detail/C95414.html,https://www.ti.com/product/LP2985,authorized_distributor,2026-09-02,Confirm the exact C95414 match and stock in the SMT component page,Verify 3.7 to 6.0 V dropout thermal and transient behavior,https://www.ti.com/lit/ds/symlink/lp2985.pdf,Exact LP2985-33DBVR is frozen in the v0.2 BOM,One per assembled v0.2 board; active-high enable is tied to VIN per TI
E032,both,bus,IMU board JST EH PCB header,B3B-EH-A LF SN 3-pin 2.5 mm,1,1,5,piece,purchase,confirmed_runtime,medium,ready_to_buy,https://www.lcsc.com/product-detail/C160259.html,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-EH-A-LF-SN/926483,authorized_distributor,2026-09-02,Confirm exact C160259 stock and that J1 remains SMD No in the placement preview,Verify pin order keying and PCB mechanical clearance,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#connector-information,Exact B3B-EH-A LF SN is frozen in the v0.2 BOM and CPL as a through-hole row,One J1 per v0.2 board; hand-solder after SMT
E034,both,service,IMU board SWD header,PZ127-2-05-S 2x5 1.27 mm SMT header,1,1,5,piece,purchase,design_choice,medium,ready_to_buy,https://www.lcsc.com/product-detail/C3975188.html,,authorized_distributor,2026-09-02,Confirm the exact C3975188 match and pin 1 orientation in the SMT preview,Verify programmer pinout and cable clearance,https://www.lcsc.com/product-detail/C3975188.html,Critical solder-mask DFM red finding is cleared in v0.2,Exact JLC library device UUID 72524cb4eb6742dc93f30d3f1de759b8
E035,both,control,IMU board passive set,0603 capacitors resistors and local bulk per board BOM,1,1,5,set,consumable,design_choice,medium,ready_to_buy,https://www.lcsc.com/product-detail/C14663.html,https://www.lcsc.com/product-detail/C25804.html,authorized_distributor,2026-09-02,Confirm all exact LCSC groups in the SMT component page,Check values voltage ratings placement and effective capacitance,https://github.com/pollen-robotics/microduck_rl,Values quantities and JLC IDs are frozen in imu_to_dxl_v0_bom.csv,One complete passive set per assembled v0.2 board
E036,both,control,Future IMU-board data ESD protection,Low-capacitance 3.3 V-compatible clamp to be selected,0,0,,piece,purchase,design_choice,low,design_first,,,none,2026-09-02,Select only after interface protection and scope review,Review leakage clamp and 1 Mbps waveform before a new PCB revision,https://www.nexperia.com/product/PESD3V3U1UL,Do not add a guessed substitute to the frozen v0.2 order,Not present in v0.2
E037,both,power,Future IMU-board rail transient protection,Clamp to be selected from measured hot-plug transients,0,0,,piece,purchase,design_choice,low,design_first,,,none,2026-09-02,Measure the regulated servo rail before selecting a TVS,Select from measured hot-plug transient and energy,,Do not add a guessed substitute to the frozen v0.2 order,Not present in v0.2
C001,both,materials,Rigid print material,PETG PA or equivalent after coupon tests,0,0,1,kilogram,consumable,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Strength creep impact and insert retention tests,,Select rigid material only after strength creep and insert coupons,Do not commit material before coupons
C002,both,materials,Flexible print material,TPU with selected shore hardness,0,0,1,spool,consumable,design_choice,low,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Friction grip compression and tear tests,,Select TPU shore hardness only after friction and tear coupons,Used for mouth soles and roller tires
C003,both,materials,Prototype print material,Low-cost material for fit checks,0,0,1,spool,consumable,design_choice,medium,choose_local,,,commodity,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Dimension coupons and dry assemblies,,Any dimensionally stable low-cost filament is acceptable for fit prototypes,Do not use for final load-bearing parts
T001,tooling,service,U2D2 or compatible Dynamixel adapter,USB to TTL Dynamixel interface,0,0,1,piece,tooling,design_choice,high,ready_to_buy,https://www.robotis.us/u2d2/,https://emanual.robotis.com/docs/en/parts/interface/u2d2/,manufacturer_shop,2026-08-31,Confirm regional stock and delivery then order the exact item,Configure one factory servo at a time,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#quick-start,Exact official adapter for single-servo ID and baud configuration,Required before multi-device bus assembly
T002,tooling,power,Current-limited bench supply,0 to 6 V with logging preferred,0,0,1,piece,tooling,design_choice,high,choose_local,,,tool_category,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Single-servo and subsystem current tests,,Choose a current-limited supply with logging after expected range is fixed,Do not begin with an unrestricted battery
T003,tooling,measurement,Digital multimeter,Continuity resistance and DC current capability,0,0,1,piece,tooling,design_choice,high,choose_local,,,tool_category,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Independent polarity and continuity checks,,Choose a reputable meter with continuity and protected current measurement,
T004,tooling,measurement,Oscilloscope,At least two channels and suitable bandwidth,0,0,1,piece,tooling,design_choice,medium,choose_local,,,tool_category,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Inspect bus turnaround noise and power transients,,Choose at least two channels and enough bandwidth for 1 Mbps TTL edges,Required for board validation
T005,tooling,fabrication,JST EH crimp tool,Compatible with selected terminal and wire,0,0,1,piece,tooling,design_choice,medium,verify_before_buy,https://media.digikey.com/pdf/Data%20Sheets/JST%20PDFs/Crimping_Tools_Machines.pdf,,manufacturer_tooling_reference,2026-08-31,Complete the verification gate then order only the matching revision,Repeatable pull-test results,,JST lists YC-260R or equivalent tooling for SEH-001T-P0.6; verify source and cost,
T006,tooling,fabrication,Soldering and rework station,Temperature-controlled with hot-air access,0,0,1,set,tooling,design_choice,medium,choose_local,,,tool_category,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Assemble and repair prototype boards,,Choose temperature-controlled soldering and hot-air tools appropriate for the selected packages,
T007,tooling,measurement,Digital caliper,0.01 mm display resolution,0,0,1,piece,tooling,design_choice,high,choose_local,,,tool_category,2026-08-31,Freeze acceptance criteria then choose a reputable local supplier,Measure bearing seats holes and fastener stacks,,Choose a calibrated 0.01 mm display caliper from a reputable local supplier,
T008,tooling,safety,Suspended robot stand,Supports robot clear of floor with quick access,0,0,1,piece,tooling,design_choice,high,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Stable through full joint travel,,Stand geometry depends on final robot mass envelope and emergency access,Required for first torque-on
