item_id,variant,subsystem,item_name,specification,source_asset,base_qty,roller_qty,purchase_qty,unit,procurement_class,status,confidence,verification_gate,source_url,notes,buy_status,preferred_url,alternate_url,link_type,link_checked_on,next_action,purchase_notes
M027,both,body,Right body shell,Simulation-derived rigid print,right_shell.stl,1,1,,piece,print_rigid,confirmed_model,medium,Check shell closure after harness installation,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M028,both,legacy,Older right upper leg export,Unreferenced legacy mesh,right_upper_leg.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies,,,,,,,
M029,roller,roller,Wheel rim,Simulation-derived rigid print,rim.stl,0,4,,piece,print_rigid,confirmed_model,medium,Verify axle and tire fit,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels,,,,,,,
M030,roller,roller,Roller chassis,Simulation-derived rigid print,roller_blade.stl,0,2,,piece,print_rigid,confirmed_model,medium,Verify ankle and wheel clearances,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per foot,,,,,,,
M031,both,mechanical,Large bearing,16 mm ID x 22 mm OD x 4 mm,seeed_bearing__configuration__22x16x4.stl,11,11,13,piece,purchase,confirmed_model,medium,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Purchase quantity includes two spares,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=16x22x4+bearing,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm bearing construction seal and measured seat before ordering
M032,both,mechanical,Small bearing,approximately 10 mm ID x 15 mm OD x 3 mm,seeed_bearing__configuration_default.stl,3,3,5,piece,purchase,confirmed_model,medium,Measure actual seat and verify bearing type before bulk order,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Purchase quantity includes two spares,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=10x15x3+bearing,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Inner diameter is approximate and must be measured first
M033,both,head,Soft upper mouth,Flexible print candidate,soft_mouth_top.stl,1,1,,piece,print_flexible,confirmed_model,low,Print TPU coupon and verify grip and travel,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Material is inferred,,,,,,,
M034,walking,feet,Walking left sole,Flexible print candidate,sole_left.stl,1,0,,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M035,walking,feet,Walking right sole,Flexible print candidate,sole_right.stl,1,0,,piece,print_flexible,confirmed_model,low,Print friction and compression coupons,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Walking model only,,,,,,,
M036,both,audio,Speaker,Envelope approximately 35 x 25 x 7 mm,speaker.stl,1,1,2,piece,purchase,needs_confirmation,low,Measure impedance power and mounting before purchase,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Purchase quantity includes one spare but electrical model is unknown,do_not_buy,,,none,2026-08-31,Do not order; replace with a designed or confirmed alternative,Envelope exists but impedance power connector and acoustic requirements are unknown
M037,roller,roller,Roller tire,Flexible print candidate,tire.stl,0,4,,piece,print_flexible,confirmed_model,low,Print TPU durometer coupons and rolling test,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Four wheels,,,,,,,
M038,both,head,Upper head shell,Simulation-derived rigid print,top_head_shell.stl,1,1,,piece,print_rigid,confirmed_model,medium,Check shell closure and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M039,both,body,Trunk base,Simulation-derived rigid print,trunk_base.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify all hip neck and electronics interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M040,both,legacy,Older left trunk shell export,Unreferenced legacy mesh,trunk_shell_left.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies,,,,,,,
M041,both,legacy,Older right trunk shell export,Unreferenced legacy mesh,trunk_shell_right.stl,0,0,,piece,legacy,legacy,high,Confirm it stays unused,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,Do not print for current assemblies,,,,,,,
M042,both,legs,Left upper leg,Simulation-derived rigid print,upper_leg_left.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M043,both,legs,Right upper leg,Simulation-derived rigid print,upper_leg_right.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify hip-pitch and knee interfaces,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
M044,both,legs,Upper-leg rigidity plate,Simulation-derived rigid print,upper_leg_rigidity_plate.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify fastener stack and cable clearance,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side,,,,,,,
M045,both,actuators,Dynamixel XL330-M288-T,TTL 3-pin servo,xl330.stl,15,15,18,piece,purchase,confirmed_runtime,high,Configure and bench-test each servo at rated voltage,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,Fifteen installed plus three spares; each retail package lists one 180 mm X3P cable plus six M2x6 and ten M2x8 bolts,ready_to_buy,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.robotis.us/dynamixel-xl330-m288-t/,manufacturer_shop,2026-08-31,Confirm regional stock and delivery then order the exact item,Exact model; check regional stock and remember retail input is 3.7 to 6.0 V
M046,both,hips,Hip yaw-to-roll bracket,Simulation-derived rigid print,yaw2roll.stl,2,2,,piece,print_rigid,confirmed_model,medium,Verify mirrored assembly and servo horn alignment,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,One per side,,,,,,,
M047,both,neck,Head yaw-roll linkage,Simulation-derived rigid print,yaw_roll_motion.stl,1,1,,piece,print_rigid,confirmed_model,medium,Verify both axes and cable twist range,https://github.com/pollen-robotics/microduck_rl/tree/develop/src/mjlab_microduck/robot/microduck/assets,,,,,,,,
F001,both,fasteners,M2 x 4 socket-head screws,M2 metric socket-head,,0,0,60,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2x4+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Buy only after installed fastener schedule is dry-fit
F002,both,fasteners,M2 x 6 socket-head screws,M2 metric socket-head,,0,0,80,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.aliexpress.com/wholesale?SearchText=M2x6+socket+head+screw,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Each XL330 package lists six M2x6 horn bolts; count included stock first
F003,both,fasteners,M2 x 8 socket-head screws,M2 metric socket-head,,0,0,40,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,https://www.aliexpress.com/wholesale?SearchText=M2x8+socket+head+screw,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Each XL330 package lists ten M2x8 frame bolts; count included stock first
F004,both,fasteners,M2 x 12 socket-head screws,M2 metric socket-head,,0,0,15,piece,consumable,inferred,low,Confirm each stack with printed coupons and calipers,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity includes loss and is not installed count,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2x12+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Length is inferred from mesh depth and needs dry-fit confirmation
F005,both,fasteners,M2 nuts,Metric nuts,,0,0,50,piece,consumable,inferred,low,Confirm where through-bolting is physically possible,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Do not assume every hole accepts a nut,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2+hex+nut,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm where through-bolting is accessible
F006,both,fasteners,M2 heat-set inserts,For selected print material,,0,0,60,piece,consumable,design_choice,medium,Pull-out and repeated-assembly coupon test,,Preferred over directly tapping simulation-derived prints,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2+heat+set+insert,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Select insert OD and length only after coupon testing
F007,both,fasteners,M2.5 x 6 screws,M2.5 metric,,0,0,20,piece,consumable,inferred,low,Confirm all 2.7 to 2.8 mm holes before use,https://github.com/fanhao375/microduck-replica/blob/master/docs/%E7%B4%A7%E5%9B%BA%E4%BB%B6%E5%8F%8D%E6%8E%A8.md,Stock quantity only,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=M2.5x6+socket+head+screw,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Use only where measured holes confirm M2.5
F008,both,fasteners,Servo horn fasteners,XL330-compatible horn and center screw,,15,15,18,set,purchase,needs_confirmation,low,Confirm supplied hardware and spline engagement,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,May be included with each servo,inventory_included_first,https://en.robotis.com/shop_en/item.php?it_id=902-0163-000,,manufacturer_package,2026-08-31,Count bundled and owned stock then purchase only the shortage,Confirm horn hardware included with every servo before buying separately
F009,roller,roller,Wheel axles,Diameter and retention TBD,,0,4,6,piece,fabricate,needs_confirmation,low,Measure roller CAD and conduct pull-out test,https://github.com/fanhao375/microduck-replica,Not represented as a separate MJCF mesh,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Axle diameter material and retention are not fixed
F010,roller,roller,Wheel spacers and washers,Dimensions TBD,,0,0,,set,fabricate,needs_confirmation,low,Measure assembled wheel side play,https://github.com/fanhao375/microduck-replica,Quantity remains open,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Spacer and washer stack depends on measured wheel side play
F011,both,consumables,Low-strength threadlocker,Plastic-safe and removable,,0,0,1,bottle,consumable,design_choice,medium,Compatibility test on printed polymer,,Do not use on heat-set insert installation,ready_to_buy,https://next.henkel-adhesives.com/us/en/products/industrial-adhesives/central-pdp.html/loctite-222/BP000340.html,,manufacturer_product,2026-08-31,Confirm regional stock and delivery then order the exact item,Use only after confirming compatibility with printed polymer and inserts
E001,both,compute,Radxa Zero 3W,RK3566 with suitable RAM and storage,,1,1,1,piece,purchase,confirmed_runtime,high,Boot current supported Armbian and expose ttyS2,https://docs.radxa.com/en/zero/zero3,Current alpha runtime target,ready_to_buy,https://radxa.com/products/zeros/zero3w/,https://docs.radxa.com/en/zero/zero3,manufacturer_buy,2026-08-31,Confirm regional stock and delivery then order the exact item,Choose Wi-Fi 3W not Ethernet-only 3E and confirm RAM storage and header option
E002,both,compute,System storage,32 GB or larger eMMC or microSD,,1,1,2,piece,purchase,needs_confirmation,medium,Complete install update and rollback endurance test,https://docs.radxa.com/en/zero/zero3/download,One installed plus one recovery spare,verify_before_buy,https://www.sandisk.com/products/memory-cards/microsd-cards/sandisk-high-endurance-uhs-i-microsd?capacity=32GB,https://docs.radxa.com/en/zero/zero3/download,manufacturer_product,2026-08-31,Complete the verification gate then order only the matching revision,Use high-endurance storage only if the chosen Radxa SKU has no suitable eMMC
E003,both,control,Replacement imu_to_dxl bench board v0.2,Dynamixel V2 slave ID200 at 1 Mbps; 45 x 25 mm single-connector end node,,1,1,5,piece,custom_board,design_choice,medium,Pass power bring-up register timing freshness and full-bus tests,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,Bench board order package only; final robot fit remains blocked on physical measurements,ready_to_buy,https://jlc.com/newOrder/#/pcb/pcbPlaceOrder,,manufacturer_service,2026-09-02,Upload the frozen v0.2 Gerber BOM and CPL then review matched parts and production preview before payment,DRC and critical DFM red checks are clear; files and hashes are under docs/hardware/manufacturing
E004,both,control,LSM6DSV16X IMU,ST 6-axis IMU with SFLP,,1,1,5,piece,purchase,confirmed_runtime,high,Match gyro scale and quaternion output,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/imu.rs,One per assembled v0.2 board,ready_to_buy,https://www.lcsc.com/product-detail/C5267406.html,https://www.st.com/en/mems-and-sensors/lsm6dsv16x.html,authorized_distributor,2026-09-02,Confirm the exact C5267406 match and stock in the SMT component page,Exact LSM6DSV16XTR is frozen in the v0.2 BOM
E005,both,control,IMU board MCU,STM32G030C8T6 LQFP48 using HSI16 and USART auto-baud,,1,1,5,piece,purchase,design_choice,medium,Compile firmware then verify ABRF fail-closed behavior and measure 1 Mbps timing across voltage temperature plus SPI and SWD,https://www.st.com/resource/en/datasheet/stm32g030c6.pdf,One per assembled v0.2 board; PF0 PF1 are NC,ready_to_buy,https://www.lcsc.com/product-detail/C529329.html,https://www.st.com/en/microcontrollers-microprocessors/stm32g030c8.html,authorized_distributor,2026-09-02,Confirm the exact C529329 match and stock in the SMT component page,Exact STM32G030C8T6 is frozen in the v0.2 BOM
E006,both,control,IMU board half-duplex interface,SN74LVC2G241DCTR complementary-enable TTL buffer,,1,1,5,piece,purchase,design_choice,medium,Scope turnaround at 1 Mbps and validate collisions,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,One per assembled v0.2 board,ready_to_buy,https://www.lcsc.com/product-detail/C2676069.html,https://www.ti.com/lit/ds/symlink/sn74lvc2g241.pdf,authorized_distributor,2026-09-02,Confirm the exact C2676069 match and stock in the SMT component page,Exact SN74LVC2G241DCTR is frozen in the v0.2 BOM
E007,both,control,IMU board PCB,Bench v0.2; 45 x 25 mm 2-layer FR-4 1.6 mm 1 oz,,1,1,5,piece,fabricate,design_choice,medium,Verify frozen hashes production preview and bare-board continuity,,Five boards cover bring-up destructive test comparison and two spares,ready_to_buy,https://jlc.com/newOrder/#/pcb/pcbPlaceOrder,,manufacturer_service,2026-09-02,Upload docs/hardware/manufacturing/imu_to_dxl_v0_2_gerber.zip and stop before payment for final shipping review,Order checker accepted the file; not approved for robot installation and has no mounting holes
E008,both,electronics,Replacement Robot HAT,65 x 30 mm outline with power bus and peripherals,,1,1,3,piece,custom_board,needs_confirmation,low,Electrical review and staged bring-up,https://github.com/pollen-robotics/microduck/tree/main/deploy/audio,Official schematic is not public,do_not_buy,,,none,2026-08-31,Do not order; replace with a designed or confirmed alternative,Official HAT is not sold; replacement design is required
E009,both,electronics,40-pin board header,Radxa Zero 3W compatible,,1,1,3,piece,purchase,confirmed_runtime,medium,Mechanical stack-height and continuity test,https://docs.radxa.com/en/zero/zero3,Two spares for board iterations,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=2x20+2.54mm+female+header,https://www.digikey.com/en/products/filter/headers-receptacles-female-sockets/315?s=N4IgjCBcoEwAwBYCcVQGMoDMCGAbAzgKYA0IA9lANogDMALAOxgC6xADgC5QgDKrATgJYA7AOYgAvkA,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Stack height and through-hole orientation must match the mechanical design
E010,both,bus,Host half-duplex TTL interface,UART2 to single-wire 3.3 V TTL,,1,1,3,piece,purchase,design_choice,low,Scope TX RX turnaround and full 16-device traffic,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/#communication-circuit,Must not require an unimplemented direction GPIO,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Do not select a host interface until automatic turnaround is proven at 1 Mbps
E011,both,power,Logic rail regulator,2S input to regulated 5 V at least 3 A,,1,1,2,piece,purchase,design_choice,medium,Load-step and thermal test with Radxa camera and sensors,https://docs.radxa.com/en/zero/zero3,Final rating depends on measured load,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Logic regulator selection depends on combined Radxa camera and sensor load test
E012,both,power,Servo rail regulator,2S input to adjustable output no greater than 6 V,,1,1,2,piece,purchase,design_choice,low,Single-servo then five-servo transient and thermal tests,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,Current rating is blocked on measurements,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Servo regulator current rating is blocked on one-servo and five-servo measurements
E013,both,power,NP-F battery,NP-F550 or NP-F970 2S pack,,1,1,2,piece,purchase,confirmed_runtime,medium,Mass clearance runtime and discharge test,https://github.com/pollen-robotics/microduck/blob/main/duck-control/src/model.rs,Use protected reputable packs,verify_before_buy,https://www.smallrig.com/global/SmallRig-NP-F970-Camera-Battery-4073.html,https://www.smallrig.com/NP-F970-USB-C-Rechargeable-Camera-Battery.html,manufacturer_shop,2026-08-31,Complete the verification gate then order only the matching revision,Confirm pack mass clearance protection behavior and selected NP-F size
E014,both,power,NP-F battery plate,Matching pack contacts and mechanical retention,,1,1,2,piece,purchase,needs_confirmation,low,Retention polarity and current test,,Exact official part is unknown,verify_before_buy,https://www.aliexpress.com/wholesale?SearchText=NP-F970+battery+plate,,marketplace_search,2026-08-31,Complete the verification gate then order only the matching revision,Confirm contact polarity retention and current rating
E015,both,power,Main fuse,Replaceable fuse sized after load measurement,,1,1,5,piece,purchase,design_choice,low,Fault injection and nuisance-trip test,,Do not choose rating before current measurements,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Fuse type and rating require measured normal and fault current
E016,both,power,Master switch or emergency disconnect,DC-rated for measured current,,1,1,2,piece,purchase,design_choice,medium,Interrupt worst-case load repeatedly,,Must be reachable during suspended bring-up,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Switch voltage current and breaking rating require measured load
E017,both,power,Reverse-polarity and inrush protection,Low-loss protected input stage,,1,1,2,piece,purchase,design_choice,low,Reverse input and hot-plug test with dummy load,,Circuit remains to be designed,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Protection topology must be designed and fault-tested
E018,both,power,Bus bulk capacitance,Low-ESR capacitor bank sized from scope captures,,1,1,2,set,purchase,design_choice,low,Keep bus within regulator limits during step load,,Value remains open,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Capacitance voltage rating and ESR depend on scope captures
E019,both,vision,IMX219 camera module,Radxa-compatible Raspberry Pi Camera v2 class,,1,1,2,piece,purchase,confirmed_runtime,medium,Verify 1080p30 capture orientation and thermal behavior,https://github.com/pollen-robotics/microduck/tree/main/mediad,One installed plus one spare,verify_before_buy,https://www.raspberrypi.com/products/camera-module-v2/,https://www.seeedstudio.com/Raspberry-Pi-Camera-Module-V2.html,manufacturer_and_reseller,2026-08-31,Complete the verification gate then order only the matching revision,Confirm Radxa ribbon pinout and current runtime overlay before ordering
E020,both,vision,MIPI CSI ribbon cable,Length and contact orientation TBD,,1,1,2,piece,purchase,needs_confirmation,low,Verify routing through head and full motion,,Length depends on final mechanical route,design_first,,,none,2026-08-31,Finish the dependent design and measurements before selecting a product,Ribbon contact orientation pitch and routed length are unresolved
